id;category;title
0102;Agile IT;Project Management, Change and Business Analysis
0103;Agile IT;Infra Project Manager
0105;Agile IT;Cloud & Devops Architect
0108;Agile IT;Engineering & Implementation Cloud
0109;Agile IT;Engineering & Implementation DevOps Platform
0110;Agile IT;Cloud/Devops Automation Engineering
0113;Agile IT;Developer
0114;Agile IT;Functional Analysis and Technical Design
0202;Data as a Service;Big data / Platform Architect
0203;Data as a Service;Big data / Platform Engineer
0207;Data as a Service;Modern BI Architect
0208;Data as a Service;Data Analyst
0210;Data as a Service;Data Scientist
0213;Data as a Service;Artificial Intelligence Engineer
0307;Cybersecurity;Security Solutions Architect
0308;Cybersecurity;Security Engineering & Solutions
0309;Cybersecurity;Security Operational Analyst
0505;Business Process Excellence;Change & Release
0513;Business Process Excellence;Project Management & Change ITSE
0515;Business Process Excellence;Engineer Technical Solution / Hot Technologies
0517;Business Process Excellence;Automation Engineer
0523;Business Process Excellence;Functional Solution Consultant
